Pokemon,win_rate,pick_rate,ban_rate
Absol,51.28,26,6.99
Aegislash,48.13,9.45,0.34
Azumarill,48.58,8.49,0.42
Blastoise,47.24,10.36,0.35
Blaziken,51.49,31.6,40.04
Blissey,50.49,21.69,0.48
Buzzwole,46.76,5.26,1.08
Ceruledge,47.79,19.45,5.43
Chandelure,49.65,8.7,0.24
Charizard,50,10.16,0.38
Cinderace,49.03,18,0.63
Clefable,47.77,8.77,1.51
Comfey,48.2,17.72,5.22
Cramorant,53.51,23.32,2.18
Crustle,50.65,14.16,0.39
Decidueye,49.33,22.7,0.98
Delphox,48.55,10.31,0.3
Dodrio,52.39,13.01,3.82
Dragapult,49.56,9.83,0.82
Dragonite,49.75,10.1,0.35
Duraludon,49.62,3.73,0.29
Eldegoss,51.75,28.72,0.56
Espeon,47.93,18.99,0.25
Falinks,56.87,20.21,75.53
Garchomp,52.04,9.79,0.47
Gardevoir,49.54,17.15,0.58
Gengar,48.08,7.29,0.7
Glaceon,47.18,9.91,0.43
Goodra,46.82,9.33,0.62
Greedent,47.93,2.77,0.37
Greninja,49.34,16.75,0.49
Gyarados,50.69,8.69,4.14
Hoopa,51.17,14.4,3.91
Inteleon,49.87,9.94,0.46
Lapras,48.43,4.23,0.17
Leafeon,47.62,14.39,4.68
Lucario,49.82,11.95,0.46
Machamp,50.04,7.46,0.33
Mamoswine,49.57,16.23,0.59
Meowscarada,50.18,13.78,3.69
Metagross,49.61,10.82,1.96
Mew,48.76,6.6,0.45
MewtwoX,52.62,11.98,9.86
MewtwoY,48.99,8.93,19.08
Mimikyu,49.4,24.32,30.56
Miraidon,52.09,12.71,63.72
MrMime,51.5,15.21,0.66
Ninetales,48.8,11.3,0.39
Pikachu,49.04,25.87,0.65
Sableye,47.96,7.61,1.61
Scizor,48.99,16.12,2.77
Slowbro,51.72,47.47,15.13
Snorlax,48.87,9.44,0.18
Sylveon,49.61,29.85,2.99
Talonflame,47.5,12.83,0.58
Trevenant,50.81,30.56,11.33
Tsareena,50.34,12.17,0.72
Tyranitar,50.35,6.65,9.74
Umbreon,49.35,32.25,6.95
Urshifu,47.17,2.82,0.31
Venusaur,49.65,31.88,1.08
Wigglytuff,49.71,9.69,0.85
Zacian,50.89,7.58,15.01
Zeraora,48.71,14.3,0.83
Zoroark,49,15.98,16.47
