Pokemon,win_rate,pick_rate,ban_rate
Absol,48.36,13.58,0.37
Aegislash,48.38,6.91,0.06
Azumarill,48.31,8.03,0.25
Blastoise,46.77,10.52,0.37
Blaziken,50.03,27.66,5.48
Blissey,50.48,20.17,0.37
Buzzwole,46.05,4.39,0.49
Ceruledge,47.44,26.62,7.89
Chandelure,49.66,7.17,0.12
Charizard,49.55,8.61,0.18
Cinderace,49.32,18.35,0.25
Clefable,47.59,7.76,1.48
Comfey,48.95,22.87,3.02
Cramorant,52.94,23.46,0.8
Crustle,50.34,13.55,0.49
Decidueye,48.7,22.2,0.68
Delphox,48.66,10.35,0.31
Dodrio,52.93,13.64,2.28
Dragapult,50.16,12.69,0.49
Dragonite,48.63,8.99,0.31
Duraludon,50.42,3.46,0.18
Eldegoss,50.59,26.09,0.8
Espeon,48.77,19.29,0.12
Falinks,55.04,18.2,40.17
Garchomp,48.36,4.63,0.43
Gardevoir,50.15,16.59,0.55
Gengar,47.97,6.8,0.18
Glaceon,47.59,10.61,0.18
Goodra,46.77,9.32,0.06
Greedent,48.48,2.69,0.25
Greninja,49.17,16.58,0.12
Gyarados,50.19,8.82,7.02
Hoopa,52.76,19.96,13.49
Inteleon,49.52,9.57,0.25
Lapras,46.61,3.87,0.18
Leafeon,48.72,22.14,14.48
Lucario,48.57,10.09,0.49
Machamp,49.31,6.74,0.31
Mamoswine,49.93,13.55,0.25
Meowscarada,50.48,14.83,1.29
Metagross,49.1,7.77,1.73
Mew,48.92,6.43,0.55
MewtwoX,50.96,8.23,5.05
MewtwoY,50.84,13.7,26.74
Mimikyu,49,12.35,3.14
Miraidon,53.38,23.06,67.71
MrMime,50.01,9.26,0.12
Ninetales,48.67,11.04,0.25
Pikachu,49,24.66,0.18
Sableye,48.24,8.09,0.99
Scizor,49.42,19.11,1.05
Slowbro,49.45,24.32,2.83
Snorlax,48.84,9.43,0.12
Sylveon,49.98,25.72,1.29
Talonflame,47.61,11.97,0.25
Trevenant,51.84,50.73,32.1
Tsareena,49.37,8.64,0.8
Tyranitar,55.21,36.5,84.29
Umbreon,49.45,30.44,10.91
Urshifu,47.03,1.85,0.43
Venusaur,47.47,13.15,0.18
Wigglytuff,49.65,9.06,0.18
Zacian,51.18,9.67,28.16
Zeraora,48.12,12.15,0.37
Zoroark,49.13,17.75,12.88
