Pokemon,win_rate,pick_rate,ban_rate
Absol,49.06,16.25,1.37
Aegislash,48.79,12.16,0.64
Azumarill,48.22,10.46,0.71
Blastoise,46.47,17.8,1.84
Blaziken,50.87,20.93,2.57
Blissey,50.1,21.4,0.58
Buzzwole,45.54,6.63,2.58
Chandelure,51.09,9.15,0.25
Charizard,49.86,11.46,0.44
Cinderace,49.57,21.54,0.65
Clefable,47.53,9.94,2.27
Comfey,48.64,14.86,6.12
Cramorant,54.66,30.8,2.65
Crustle,51.16,15.44,0.7
Decidueye,49.4,28.68,1.88
Delphox,48.59,14.8,0.88
Dodrio,52.01,9.5,1.93
Dragapult,48.78,14.42,0.98
Dragonite,50.57,14.46,0.81
Duraludon,50.26,4.53,0.22
Eldegoss,51.53,26.69,0.44
Espeon,48.21,21.68,0.48
Falinks,56.1,17.24,20.03
Garchomp,49.5,6.43,0.37
Gardevoir,50.85,18.91,0.83
Gengar,49,8.46,1.4
Glaceon,46.94,14.49,1.62
Goodra,46.28,13.34,2.44
Greedent,49.33,2.88,0.29
Greninja,49.18,20.1,0.58
Gyarados,50.46,17.06,48.14
Hoopa,53.06,20.3,3.93
Inteleon,49.13,11.77,0.45
Lapras,47.9,4.14,0.4
Leafeon,49.07,25.3,36.13
Lucario,49.41,14.7,0.61
Machamp,49.62,7.87,0.4
Mamoswine,49.31,13.57,0.68
Meowscarada,50.69,17.15,10.52
Metagross,49.73,15.91,6.81
Mew,48.44,9.16,1.12
MewtwoX,-,-,-
MewtwoY,-,-,-
Mimikyu,49.21,20.14,11.3
Miraidon,-,-,-
MrMime,51.25,9.28,0.45
Ninetales,48.22,13.35,0.61
Pikachu,49.03,30.18,0.85
Sableye,47.13,6.62,1.92
Scizor,49.67,25.32,10.41
Slowbro,49.75,26.82,2.65
Snorlax,48.9,8.6,0.2
Sylveon,50.22,28.13,0.6
Talonflame,47.64,14.5,0.69
Trevenant,53.31,47.43,30.56
Tsareena,50.72,10.74,0.36
Tyranitar,55.91,20.7,92.3
Umbreon,49.33,40.41,19.08
Urshifu,47.42,2.83,0.33
Venusaur,47.65,20.54,0.63
Wigglytuff,48.98,10.08,1.14
Zacian,-,-,-
Zeraora,48.56,14.86,0.76
Zoroark,48.45,16.47,36.83
