Pokemon,win_rate,pick_rate,ban_rate
Absol,50.32,23.03,4.41
Aegislash,49.56,7.27,0.53
Azumarill,49.15,7.54,0.52
Blastoise,44.55,9.7,0.68
Blaziken,52.12,21.2,25.39
Blissey,51.29,15.03,0.56
Buzzwole,47.65,5,1.66
Ceruledge,53.12,40.42,45.74
Chandelure,49.25,14.22,1.67
Charizard,51.81,48.57,39.07
Cinderace,48.18,17.28,0.76
Clefable,49.27,26.72,5.83
Comfey,48.99,15.64,5.05
Cramorant,50.58,13.24,7.58
Crustle,50.74,14.68,0.47
Decidueye,49.85,21.63,1.29
Delphox,52.29,30.31,5.01
Dodrio,51.11,6.7,1.98
Dragapult,51.58,8.76,0.92
Dragonite,49.39,9.47,0.58
Duraludon,51.34,2.46,0.16
Eldegoss,51.12,23.12,0.48
Espeon,47.94,17.12,0.33
Falinks,47.59,4.51,43.45
Garchomp,48.22,8.66,0.35
Gardevoir,48.27,15.26,0.62
Gengar,45.53,7.91,1.38
Glaceon,46.03,9.21,0.66
Goodra,48.38,9.19,1.54
Greedent,49.8,2.73,0.37
Greninja,48.41,16.04,0.49
Gyarados,52.5,10.8,6.18
Hoopa,51.8,10.78,2.79
Inteleon,51.86,8.09,0.41
Lapras,48.02,3.73,0.29
Leafeon,48.91,13.49,4.72
Lucario,48.96,10.97,0.25
Machamp,46.55,6.24,0.4
Mamoswine,49.69,15.55,0.58
Meowscarada,49.52,9.34,4.07
Metagross,50.04,6.69,1.47
Mew,49.12,5.59,0.43
MewtwoX,51.86,7.82,3.07
MewtwoY,48.58,4.68,5.45
Mimikyu,50.88,18.39,22.03
Miraidon,50.38,6.73,22.07
MrMime,48.91,11.19,0.5
Ninetales,47.8,10.79,0.53
Pikachu,49.75,32.56,1.27
Sableye,48.25,5.67,2.01
Scizor,48.13,11.56,4.27
Slowbro,52.58,42.31,13.31
Snorlax,48.09,10.41,0.2
Sylveon,46.48,13.43,0.72
Talonflame,47.29,20.58,1.61
Trevenant,46.55,17.42,5.21
Tsareena,51.53,7.55,0.44
Tyranitar,45.58,5.49,6.49
Umbreon,50.4,27.78,5.94
Urshifu,50.7,24.94,43.75
Venusaur,50.05,26.19,0.89
Wigglytuff,49.97,10.07,1.35
Zacian,53.39,7.65,6.28
Zeraora,47.72,13.94,0.81
Zoroark,47.4,8.78,10.07
