Pokemon,win_rate,pick_rate,ban_rate
Absol,50.2,21.97,2.86
Aegislash,48.16,10.42,0.35
Azumarill,48.05,8.03,0.41
Blastoise,47.05,8.79,0.38
Blaziken,50.98,27.88,14.17
Blissey,50.95,16.7,0.37
Buzzwole,46.16,5.78,0.95
Ceruledge,52.02,30.97,79.24
Chandelure,49.31,11.59,0.35
Charizard,52.59,37.26,67.42
Cinderace,49.27,17.12,0.43
Clefable,47.97,22.47,3.94
Comfey,47.88,15.18,4.9
Cramorant,51.5,11.91,0.32
Crustle,50.1,13.06,0.29
Decidueye,49.24,22.52,0.99
Delphox,51.39,32.71,5.28
Dodrio,51.39,8.95,1.37
Dragapult,51.39,10.22,1.04
Dragonite,51.68,12.5,0.6
Duraludon,50.48,2.3,0.2
Eldegoss,51.87,24.92,0.32
Espeon,47.71,17.15,0.25
Falinks,45.68,2.14,1.46
Garchomp,52.16,8.77,0.24
Gardevoir,50.51,15.62,0.48
Gengar,47.81,7.04,0.95
Glaceon,46.14,9.52,0.51
Goodra,47.16,8.4,0.87
Greedent,47.01,2.53,0.4
Greninja,48.82,17.66,0.51
Gyarados,52.16,14.04,4.87
Hoopa,51.35,12.59,1.68
Inteleon,49.19,11.65,0.33
Lapras,48,3.53,0.19
Leafeon,49.09,17.97,4.29
Lucario,48.92,12.3,0.3
Machamp,49.3,7.3,0.34
Mamoswine,49.86,15.55,0.42
Meowscarada,50.02,10.5,2.58
Metagross,49.47,8.6,0.81
Mew,47.36,7.64,0.28
MewtwoX,50,7.22,0.75
MewtwoY,48.24,4.52,1.35
Mimikyu,49.95,23.85,17.58
Miraidon,50.35,6.36,4.93
MrMime,50.74,11.56,0.47
Ninetales,48.97,11.26,0.5
Pikachu,49.27,32.04,0.93
Sableye,48.16,7.44,1.67
Scizor,47.82,11.95,2.51
Slowbro,51.39,44.15,9.9
Snorlax,48.4,10.5,0.2
Sylveon,47.41,11.2,0.13
Talonflame,48.57,18.18,0.81
Trevenant,50.63,24.36,2.92
Tsareena,51.48,8.37,0.23
Tyranitar,50.71,4.87,2.45
Umbreon,49.45,29.55,3.46
Urshifu,50.65,15.21,44.52
Venusaur,49.84,27.55,0.77
Wigglytuff,50.81,11.67,1.38
Zacian,50.85,10.23,5
Zeraora,49.37,14.09,0.54
Zoroark,48.05,9.07,3.45
