Pokemon,win_rate,pick_rate,ban_rate
Absol,49.85,22.18,3.6
Aegislash,48.07,8.6,0.27
Azumarill,48.29,7.62,0.31
Blastoise,46.55,8.26,0.31
Blaziken,51.21,25.46,17.32
Blissey,50.97,16.92,0.4
Buzzwole,45.62,5.19,0.89
Ceruledge,52.32,40.64,76.04
Chandelure,49.36,12.95,0.47
Charizard,51.97,40.8,61.77
Cinderace,49.06,16.18,0.34
Clefable,48.64,25.17,4.37
Comfey,47.62,16.61,4.56
Cramorant,51.2,12.21,0.51
Crustle,50.3,14.28,0.34
Decidueye,49.13,21.79,0.84
Delphox,51.47,33.16,4.32
Dodrio,51.71,8.06,1.3
Dragapult,50.05,9.55,0.88
Dragonite,51.25,11.62,0.49
Duraludon,49.83,2.26,0.23
Eldegoss,51.62,23.48,0.45
Espeon,47.73,16.69,0.2
Falinks,47.47,2.58,3.19
Garchomp,51.82,8.41,0.27
Gardevoir,49.36,14.77,0.37
Gengar,47.69,6.8,0.79
Glaceon,46.17,9.15,0.39
Goodra,47.21,8.68,0.58
Greedent,49.14,2.79,0.4
Greninja,48.76,17.46,0.54
Gyarados,52.85,12.21,3.92
Hoopa,50.95,12.59,1.94
Inteleon,50.31,10.48,0.29
Lapras,46.32,3.85,0.23
Leafeon,49.27,15.44,3.2
Lucario,48.91,12.46,0.31
Machamp,49.06,6.92,0.34
Mamoswine,50.25,15.5,0.43
Meowscarada,49.72,9.87,1.96
Metagross,49.76,7.94,0.73
Mew,49.49,7.18,0.36
MewtwoX,50.59,7.53,1.37
MewtwoY,48.33,4.63,1.89
Mimikyu,49.83,21.82,16.86
Miraidon,49.46,6.45,9.3
MrMime,51.49,11.18,0.44
Ninetales,48.68,10.83,0.46
Pikachu,49.38,32.63,1
Sableye,48.53,7.11,1.5
Scizor,47.23,11.33,1.85
Slowbro,51.42,44.58,9.77
Snorlax,48.53,11.05,0.16
Sylveon,47.09,11.25,0.16
Talonflame,48.83,18.43,0.92
Trevenant,49.77,20.85,2.8
Tsareena,50.62,8.43,0.29
Tyranitar,48.42,4.65,2.38
Umbreon,49.63,27.84,3.66
Urshifu,50.99,15.28,59.03
Venusaur,50.09,25.77,0.77
Wigglytuff,50.88,10.67,0.98
Zacian,51.52,10.38,9.62
Zeraora,48.76,14.23,0.58
Zoroark,47.52,9.27,4.7
