hero,win_rate,pick_rate,ban_rate,z_score
Lolita,60.44,0.21,1.24,2.406879937417572
Hylos,56.44,0.32,0.42,1.367635292204425
Argus,56.28,0.56,2.24,1.2868311330080895
Belerick,55.49,0.97,10.28,1.1274962589777118
Floryn,54.97,0.48,8.82,1.0853680660594016
Gatotkaca,54.96,2.13,5.67,0.8271686319173153
Edith,54.55,0.57,0.5,0.891856044029476
Carmilla,54.2,0.17,0.41,0.8401981035440902
Khaleed,53.75,0.23,0.22,0.7227423619515694
Moskov,53.57,2.5,59.58,1.3196874249666013
Terizla,53.56,0.86,1.91,0.6931244444441284
Zhask,53.48,0.81,2.56,0.6848349235309698
Popol and Kupa,52.91,0.51,2.66,0.5577939133960517
Gloo,52.88,0.08,0.37,0.4990425344359485
Aamon,52.87,0.87,3.48,0.5809379924249876
Melissa,52.87,1.11,3.86,0.6004586003488236
Aulus,52.84,0.24,0.5,0.5006732646191773
Masha,52.84,0.17,3.09,0.5242177591625093
Silvanna,52.7,0.97,0.72,0.5270247212615649
Natan,52.63,0.79,14.14,0.6452078560260225
Vale,52.42,1.31,1.96,0.5270450604036923
Benedetta,52.28,0.35,0.64,0.37699229160917047
Vexana,51.91,2.71,34.59,1.025725040402588
Helcurt,51.82,0.95,41.61,0.8128936937266716
Julian,51.8,0.91,7.7,0.43307499941847977
Rafaela,51.79,0.45,0.61,0.2773274874475091
Harley,51.71,1.01,33.38,0.7138683534297233
Ling,51.62,0.68,5.75,0.3367491150441394
Sun,51.57,1.33,6.61,0.4577158348749722
Alucard,51.52,0.94,1.23,0.31692301083828633
Uranus,51.44,0.52,0.73,0.21308991879647762
Minotaur,51.4,0.7,11.53,0.35863083180339295
Yin,51.26,1.36,54.92,0.946223323081717
Alpha,51.25,2.83,5.3,0.7242407703529825
Ixia,51.21,0.49,1.04,0.15908276410747457
Odette,51.19,1.31,1.52,0.3431600598055653
Yi Sun-shin,51.18,0.09,0.06,0.05189681586205515
Minsitthar,51.13,0.54,2.68,0.17054497093250237
Barats,51.09,0.49,26.7,0.41194745379851266
Estes,51.03,0.77,56.06,0.7853940356738088
X.Borg,50.91,0.82,5.47,0.22287885290919426
Baxia,50.88,0.12,0.17,-0.01773803217507061
Ruby,50.78,0.66,1.3,0.11045780215252868
Angela,50.7,1.77,36.44,0.7766523580416449
Natalia,50.62,0.33,2.41,-0.002240822081892274
Roger,50.53,1.55,21.27,0.5310149639839775
Lylia,50.53,0.66,0.82,0.05340038128431788
Miya,50.46,2.73,2.2,0.6601300158283108
Atlas,50.37,0.64,5.33,0.0633601509307054
Diggie,50.36,0.27,25.14,0.16531762019948712
Saber,50.26,1.43,30.67,0.5628876146723288
Gord,50.25,0.62,0.26,-0.023259458095529713
Bane,50.21,0.44,0.31,-0.0881431759933214
Badang,50.11,0.43,0.15,-0.11596647789774833
Chip,50.07,0.16,12.78,-0.07653825306746342
Thamuz,50.03,0.96,1.54,0.057696942305263094
Luo Yi,50.03,0.68,4.73,-0.0009612210397522778
Layla,49.93,2.95,4.06,0.7501709357299265
