hero,win_rate,pick_rate,ban_rate,z_score
Lolita,58.86,0.32,1.09,2.00963884719649
Floryn,56.29,0.8,11.67,1.3264687668837496
Barats,55.59,0.92,58.35,1.6097497673425794
Argus,55.59,0.56,1.83,1.1460383229154276
Hylos,55.43,0.39,0.31,1.1299857341525588
Moskov,55.35,3.25,53.49,1.0673325259015654
Edith,53.98,0.55,0.34,0.7713512943724525
Harith,53.95,1.01,90.2,1.6083415967450772
Khaleed,53.9,0.38,0.23,0.7584755961331543
Carmilla,53.82,0.28,0.44,0.743779036470707
Belerick,53.76,0.91,7.76,0.7854110833373202
Gatotkaca,53.73,1.36,2.73,0.7234113419621181
Terizla,53.51,0.94,1.13,0.6753722529256
Masha,53.39,0.37,22.19,0.8449340061288172
Popol and Kupa,53.26,0.6,1.85,0.6253558373367439
Natan,53.07,1.44,18.98,0.7931029990207077
Melissa,52.88,0.96,2.67,0.5764142227241484
Zhask,52.58,0.6,1.17,0.4693753482633416
Silvanna,52.51,0.64,0.4,0.451167395159941
Vexana,52.5,2.69,34.31,1.0112001707998257
Minotaur,52.42,1.16,24.39,0.7266820862100327
Vale,52.4,0.94,1.01,0.4711930922650752
Aulus,52.38,0.17,0.27,0.3615689662883413
Odette,52.3,1.03,0.89,0.4640857099378167
Gloo,52.25,0.09,0.25,0.31534444192836447
Diggie,52.03,0.35,43.46,0.7130604825570199
Rafaela,51.93,0.38,0.41,0.2802381442246471
Fredrinn,51.92,1.11,40.2,0.7900821900333862
Benedetta,51.91,0.51,0.65,0.300986982662119
Freya,51.71,0.51,2.38,0.2716938827872464
Harley,51.61,0.98,21.16,0.5286914138216436
Angela,51.49,1.83,39.76,0.8770669653892083
Ling,51.45,1.11,6.4,0.3881682751614065
Ixia,51.44,0.51,0.93,0.1957925437164379
Luo Yi,51.3,0.86,3.98,0.27887817045964125
Uranus,51.25,0.35,0.37,0.10665235961708384
Alucard,51.25,1.61,1.82,0.43675530456695044
Yi Sun-shin,51.23,0.2,0.07,0.060867868375234835
Helcurt,51.13,0.82,35.94,0.5426925922666899
Estes,51.09,0.69,47.14,0.6075425396332232
Roger,51.03,2.69,35.08,1.0287037352976407
Yin,51.01,1.09,39.5,0.628151763729446
Saber,50.89,1.13,16.74,0.40116870142971756
Phoveus,50.84,0.07,0.16,-0.0793012142120356
Minsitthar,50.84,0.6,2.85,0.103094222716907
Sun,50.82,0.88,4.43,0.19719155585610376
Dyrroth,50.73,2.8,5.61,0.781545048565536
Alpha,50.71,1.9,2.84,0.47677181302817345
Faramis,50.61,0.27,1.48,-0.0663248417213225
Ruby,50.48,0.75,1.83,0.06434358651586851
Hilda,50.44,0.46,1.02,-0.04982139357425099
Thamuz,50.32,0.64,0.81,-0.01671131137649689
Miya,50.23,1.39,1.04,0.23727112269168124
Esmeralda,50.16,1.73,14.08,0.47862730159588657
Eudora,50.15,0.75,1.34,-0.007521293629661361
Xavier,50.14,0.65,0.18,-0.057828093822148846
Aamon,50.14,0.35,0.47,-0.16643634121857542
Lylia,50.09,0.87,0.71,0.019425555118515243
Bane,50.09,0.41,0.19,-0.1588659734912889
Novaria,50.06,1.04,2.62,0.09665190909398395
X.Borg,49.99,1.21,6.53,0.18804723577867352
Gord,49.99,0.52,0.16,-0.14055888400153416
Badang,49.93,0.28,0.08,-0.2496149685305022
Natalia,49.92,0.34,1.82,-0.21173877813853045
Brody,49.74,0.77,0.5,-0.09073469918979002
Cyclops,49.72,0.57,0.16,-0.1813987584100535
Yu Zhong,49.69,1.21,1.1,0.08981011451237332
Lunox,49.66,0.41,0.38,-0.2604064393322178
Aurora,49.64,0.44,3.8,-0.21960264941622795
Irithel,49.59,0.35,0.08,-0.30597196281423844
Aldous,49.57,0.71,0.86,-0.14749319166540115
Clint,49.39,0.69,0.2,-0.20029770486302806
Bruno,49.21,0.59,0.14,-0.2858940993392636
Khufra,49.09,0.52,1.16,-0.33656442830196576
Tigreal,49.09,1.83,64.79,0.9101208587402474
Layla,49.05,1.69,2.21,0.23711905716612247
Nana,49.05,2.32,41.53,0.9231424979785641
Valir,49.01,0.9,5.35,-0.1269346504038248
Julian,49.0,0.33,0.3,-0.4594236671938489
Johnson,48.98,0.91,3.76,-0.14285112836959468
Atlas,48.92,0.73,5.22,-0.23065016860471127
Baxia,48.92,0.17,0.2,-0.5608876598907684
Hanabi,48.84,1.76,2.54,0.254818942413931
Chip,48.8,0.16,12.42,-0.48066342040744897
Mathilda,48.71,0.53,36.27,-0.08091962879016731
Cici,48.69,0.57,5.24,-0.3623343813551088
Akai,48.68,0.48,0.67,-0.4561226840867547
Hanzo,48.66,0.22,1.96,-0.5866610913146024
Martis,48.56,1.08,10.23,-0.06664911843188143
Chang'e,48.54,1.62,1.86,0.14381846551335903
Arlott,48.38,0.52,1.51,-0.4954060798873092
Pharsa,48.28,0.49,0.16,-0.548407594338557
Cecilion,48.2,0.6,0.15,-0.5030533232423743
Yve,48.09,0.06,0.05,-0.8487491274548039
Granger,48.04,0.78,0.38,-0.42817981989928083
Kadita,47.96,0.41,0.25,-0.6703081107902247
Alice,47.96,0.08,0.21,-0.8712422722029178
Kagura,47.93,0.43,0.17,-0.6660683367367285
