hero,win_rate,pick_rate,ban_rate,z_score
Lolita,57.69,0.32,0.93,1.7497462783606004
Floryn,56.07,0.74,6.67,1.2621766761126954
Argus,55.67,0.55,1.16,1.1739786833786052
Hylos,55.53,0.38,0.24,1.172987268941798
Barats,55.41,1.04,45.89,1.4373257530882915
Moskov,55.34,3.26,23.3,0.7337801416731267
Harith,55.02,1.41,60.44,1.4459134765226407
Carmilla,54.12,0.27,0.4,0.8291874640169086
Edith,54.02,0.47,0.26,0.7902216575588692
Khaleed,53.78,0.48,0.24,0.7322559696919875
Gatotkaca,53.56,1.22,1.66,0.6922302776700962
Masha,53.55,0.56,60.03,1.25449067568972
Popol and Kupa,53.51,0.54,1.02,0.6756769308581674
Belerick,53.16,0.84,5.43,0.6510469803820981
Terizla,53.14,1.01,1.09,0.6134333658117384
Melissa,53.0,1.07,3.01,0.6113000881154543
Zhask,52.79,0.58,0.85,0.5111347368082844
Vale,52.68,0.89,0.78,0.5174242975740628
Odette,52.67,1.09,0.85,0.5370079968338421
Minotaur,52.67,1.32,39.2,0.9310943831890848
Aulus,52.46,0.17,0.19,0.37714298662265766
Silvanna,52.45,0.57,0.26,0.42713336108396244
Vexana,52.35,2.7,41.43,1.104314833075625
Angela,52.28,1.82,38.09,0.9415329967186836
Natan,52.25,1.34,5.95,0.5550493880518297
Alucard,52.12,0.88,0.79,0.40962577552602303
Fredrinn,52.0,1.27,40.6,0.8426005285420469
Harley,51.93,1.01,16.26,0.5476419194135703
Freya,51.93,0.46,2.14,0.3057733211569098
Rafaela,51.88,0.37,0.38,0.2589367282540636
Phoveus,51.83,0.08,0.18,0.18531856866033142
Gloo,51.82,0.12,0.26,0.19143311858564227
Yi Sun-shin,51.77,0.27,0.08,0.20728479610115907
Uranus,51.76,0.36,0.32,0.22606299389803763
Diggie,51.66,0.38,56.09,0.7435832704244207
Saber,51.62,1.0,9.39,0.42467424202631304
Benedetta,51.56,0.61,0.83,0.23944308781369755
Sun,51.55,0.88,3.92,0.33106207117811365
Ixia,51.25,0.58,1.16,0.16533993420423201
Estes,51.22,0.68,39.28,0.5541204766612998
Yin,51.1,1.17,40.26,0.6802212156516606
Alpha,50.99,1.83,1.93,0.49347567894563943
Luo Yi,50.91,0.9,3.33,0.20949748545602812
Roger,50.9,2.39,25.62,0.8911672611134184
Aldous,50.85,0.66,0.76,0.096509774838306
Helcurt,50.82,0.71,52.22,0.6028954873098384
Ling,50.78,1.1,3.29,0.25033761722332537
Hilda,50.78,0.46,1.31,0.02090443953342945
Ruby,50.76,0.82,4.04,0.16160166806719004
Dyrroth,50.74,2.06,4.51,0.5755719211777796
Faramis,50.49,0.34,1.78,-0.08794623091974133
Miya,50.46,1.25,0.85,0.22908430757688877
Minsitthar,50.42,0.61,2.74,0.003750086984426219
Natalia,50.42,0.31,1.66,-0.11809723556563348
Aamon,50.4,0.38,0.39,-0.10936187246374454
Thamuz,50.32,0.59,0.61,-0.04676692662526055
Xavier,50.26,0.7,0.17,-0.021585036068963195
Badang,50.18,0.27,0.06,-0.21159514598799178
Eudora,50.11,0.67,0.94,-0.05823401148890617
Gord,49.99,0.57,0.15,-0.13400504131056307
X.Borg,49.98,1.36,9.02,0.28405527707897016
Bane,49.98,0.36,0.14,-0.2253550822787381
Lylia,49.9,0.98,0.97,0.031033632930627324
Cyclops,49.86,0.57,0.14,-0.16369911033310658
Esmeralda,49.82,1.47,4.4,0.26675412243458463
Novaria,49.74,1.25,3.38,0.14776295198029704
Clint,49.59,0.78,0.21,-0.1257856001952569
Yu Zhong,49.51,1.38,1.03,0.15364374637110756
Brody,49.46,0.84,0.54,-0.11982391611115166
Johnson,49.45,0.85,2.84,-0.09471292926733611
Aurora,49.35,0.5,6.71,-0.25129744416103805
Lunox,49.28,0.42,0.37,-0.3695626283633648
Irithel,49.25,0.39,0.07,-0.39513680118854055
Layla,49.23,1.58,1.91,0.2279073758289215
Tigreal,48.87,1.66,71.32,0.9035615658687681
Mathilda,48.85,0.61,49.21,0.10230280641542479
Martis,48.82,1.26,10.85,0.0903662952870738
Akai,48.76,0.56,0.77,-0.41374584268546444
Nana,48.76,2.24,45.08,0.9693287568662029
Hanabi,48.67,1.61,2.29,0.18867466536726976
Valir,48.67,0.9,5.59,-0.19083141261997646
Granger,48.66,0.73,0.3,-0.34247228901356375
Bruno,48.63,0.79,0.15,-0.3151320082806872
Julian,48.58,0.41,0.37,-0.5473128485936374
Chang'e,48.51,0.96,0.52,-0.23401751486386607
Khufra,48.5,0.68,1.53,-0.39396460323284044
Hanzo,48.5,0.23,1.43,-0.6647410308109012
Cici,48.47,0.76,9.22,-0.27792570108751025
Atlas,48.33,0.76,5.69,-0.3407110751505488
Baxia,48.32,0.19,0.36,-0.7481618813147692
Arlott,48.21,0.71,2.6,-0.42684979403751167
Zilong,48.16,0.81,0.46,-0.39405869836289276
Pharsa,48.14,0.46,0.13,-0.626053818281131
Chip,48.06,0.17,17.41,-0.6675659257537242
Kadita,48.01,0.44,0.22,-0.6696382944691776
Yve,47.95,0.1,0.09,-0.9115606497173473
Leomord,47.95,0.14,0.05,-0.8853490638483813
Kagura,47.94,0.42,0.14,-0.700751647748451
Cecilion,47.9,0.61,0.13,-0.5832002235852092
Alice,47.89,0.13,0.37,-0.9057075355041591
Karina,47.81,0.78,6.61,-0.4248483924163253
Claude,47.76,1.89,1.66,0.28038598121578445
Kaja,46.83,0.14,0.16,-1.1965143640667053
Jawhead,46.82,0.37,0.27,-1.0144175288232313
Franco,46.51,2.04,9.63,0.3942166378471941
Kimmy,46.35,0.13,0.05,-1.339938532717667
Grock,46.26,0.23,0.11,-1.2779780818701811
Lesley,46.25,1.37,0.71,-0.2865241917871013
Lapu-Lapu,46.23,0.4,0.06,-1.1387144612049374
Hayabusa,46.21,0.64,0.77,-0.9276057915406194
Paquito,45.74,0.97,1.38,-0.7187147055279037
Guinevere,45.74,0.51,0.53,-1.1536038721610182
Nolan,45.73,0.82,14.44,-0.7337731852248042
Gusion,45.62,0.72,0.41,-0.9851529556581723
Selena,45.53,0.98,2.09,-0.740165296746457
Beatrix,44.99,0.44,0.07,-1.405316040973756
Joy,44.74,0.13,2.75,-1.7646173146986144
Karrie,44.39,1.01,1.36,-0.9185735923196525
Fanny,44.19,0.77,13.78,-1.100596562558327
Balmond,44.05,0.5,0.26,-1.5643124671539281
Valentina,43.39,0.46,0.58,-1.765252472062761
Lancelot,42.67,1.22,1.35,-0.948924897994749
Chou,42.64,0.9,1.39,-1.3677640067765189
Wanwan,41.85,0.16,0.26,-2.5560472030721786
