hero,win_rate,pick_rate,ban_rate,z_score
Lolita,60.23,0.22,1.16,2.359729996533415
Hylos,56.4,0.33,0.41,1.359578667905924
Argus,56.34,0.56,2.13,1.3014184644406273
Belerick,55.32,0.99,10.06,1.0910504941522066
Floryn,55.12,0.49,8.46,1.1147965085887017
Gatotkaca,54.74,2.07,5.11,0.8101680624844831
Edith,54.59,0.57,0.48,0.9010073126176263
Carmilla,54.29,0.17,0.43,0.8641540956758804
Khaleed,54.04,0.23,0.21,0.7949279430188854
Moskov,53.97,2.65,56.07,1.2843141452190414
Zhask,53.58,0.8,2.33,0.7011866853111914
Terizla,53.49,0.84,1.73,0.6773896556096412
Popol and Kupa,53.13,0.53,2.43,0.6036615601983202
Masha,53.0,0.18,4.55,0.5792433581265313
Aamon,52.95,0.81,2.57,0.5817288928311742
Gloo,52.88,0.08,0.36,0.49669977407933535
Natan,52.88,0.8,12.8,0.6784708682787889
Melissa,52.76,1.09,3.69,0.5785589285610313
Silvanna,52.7,0.94,0.67,0.5234308324884457
Aulus,52.59,0.24,0.46,0.4359538179300841
Vale,52.42,1.3,1.83,0.5248373708626723
Benedetta,52.19,0.36,0.65,0.3542280877351596
Vexana,51.96,2.69,35.5,1.0375803942137547
Julian,51.91,0.79,3.53,0.38750552039683694
Rafaela,51.76,0.45,0.59,0.2671313264929215
Helcurt,51.75,0.99,40.3,0.7899827662871786
Ling,51.65,0.65,4.36,0.319790707756001
Harley,51.61,1.03,33.01,0.6937902160560373
Minotaur,51.52,0.73,13.11,0.40326975560178424
Yi Sun-shin,51.49,0.1,0.06,0.12956843527563527
Uranus,51.42,0.5,0.66,0.20048387892126304
Alucard,51.41,0.93,1.35,0.29515527329610447
Sun,51.39,1.32,6.37,0.4278257878688282
Odette,51.32,1.29,1.41,0.3574409119906538
Ixia,51.27,0.5,1.1,0.1716807540204266
Minsitthar,51.22,0.55,2.67,0.188838666837073
Alpha,51.14,2.81,5.08,0.7267835737235258
Barats,51.1,0.54,32.8,0.486962127371865
Estes,51.0,0.77,55.78,0.7712014980776436
Yin,50.99,1.36,53.39,0.8900939249106249
X.Borg,50.9,0.86,5.9,0.23363737111844451
Angela,50.83,1.77,35.7,0.7841788964826972
Ruby,50.77,0.69,1.52,0.1156530622578822
Natalia,50.7,0.34,2.45,0.014418697776671194
Baxia,50.66,0.12,0.18,-0.08156911787721884
Diggie,50.53,0.28,27.57,0.22855631375506935
Lylia,50.48,0.68,0.81,0.045412988071779174
Roger,50.42,1.59,24.31,0.5647338895366971
Saber,50.37,1.43,28.15,0.5510370874990708
Bane,50.34,0.47,0.31,-0.054413310621954626
Miya,50.33,2.58,1.96,0.6215478365323648
Phoveus,50.28,0.05,0.16,-0.20312737728331487
Atlas,50.23,0.65,5.57,0.03577403688365435
Gord,50.2,0.61,0.25,-0.04122643249389801
Luo Yi,50.07,0.73,4.83,0.021325933014894122
Esmeralda,50.06,1.55,20.77,0.4703364481288406
Thamuz,49.98,0.94,1.45,0.03939976980726298
Badang,49.95,0.42,0.13,-0.1622932010195175
Hilda,49.94,0.59,1.4,-0.09118806734590373
Chip,49.94,0.17,12.68,-0.11621203938255004
Aldous,49.8,0.8,1.3,-0.04584490728249012
Tigreal,49.8,1.72,62.08,0.9486748575385254
Khufra,49.74,0.27,0.81,-0.2591027279723387
Freya,49.69,0.46,1.19,-0.1960090536884475
Johnson,49.66,1.28,6.61,0.1659723039144127
Layla,49.66,2.84,3.77,0.724982263857625
Nana,49.64,2.55,51.89,1.136742509033027
Hanabi,49.63,2.71,4.16,0.6797910503556938
Irithel,49.61,0.37,0.13,-0.2601884237350519
Chang'e,49.57,1.74,2.6,0.28710327795581886
Novaria,49.55,0.65,2.96,-0.13482567023542175
Aurora,49.54,0.58,4.13,-0.15151119097665566
Cyclops,49.52,0.7,0.25,-0.15091047559385964
Clint,49.43,0.58,0.25,-0.21735896846298625
Hanzo,49.41,0.25,3.77,-0.3162908723996633
Lunox,49.4,0.22,0.42,-0.3672061624989879
Brody,49.2,0.47,0.53,-0.31052364071618843
Xavier,49.2,0.47,0.23,-0.3137773555262498
Valir,49.15,1.11,6.93,0.021254621977428514
Dyrroth,48.98,2.6,6.87,0.65447107988987
Eudora,48.98,1.1,2.46,-0.05963891425469153
Yu Zhong,48.96,0.93,1.43,-0.14996247609606864
Fredrinn,48.88,0.72,17.99,-0.08024086039345389
Harith,48.83,0.84,59.15,0.4110985705121915
Kagura,48.78,0.32,0.25,-0.47834027525291145
Akai,48.55,0.41,0.69,-0.4853358371862514
