hero,win_rate,pick_rate,ban_rate,z_score
Lolita,61.7,0.21,1.32,3.3218351443820784
Hylos,57.85,0.75,5.61,1.7925607282356901
Argus,55.9,0.48,1.76,1.309841261310435
Popol and Kupa,55.77,0.76,8.48,1.2678050793272517
Gatotkaca,55.2,2.67,11.93,0.8150223821866645
Edith,54.99,0.6,0.45,1.0058259173418904
Terizla,54.81,1.59,12.49,0.9505538182649433
Floryn,54.79,0.51,7.27,1.0281798279122403
Zhask,54.72,1.49,44.48,1.2676660075566477
Belerick,54.12,0.8,6.19,0.8085979686905036
Bane,54.09,0.78,1.07,0.7503154368148585
Carmilla,53.88,0.73,1.82,0.7032360249044275
Ruby,53.82,0.86,2.12,0.6906100251084484
Aulus,53.01,0.22,0.35,0.4003779251691919
Sun,52.93,1.09,4.03,0.5141220246956465
Khaleed,52.84,0.25,0.12,0.3452441160121418
Melissa,52.69,0.85,1.96,0.40439010805278613
Ixia,52.54,0.45,0.44,0.2834381592947867
Zhuxin,52.44,0.37,31.85,0.5523197315129647
Masha,52.41,0.14,0.22,0.1837915218245838
Gloo,52.28,0.09,0.33,0.1299393647349143
Harley,51.94,1.03,20.72,0.4476507529232349
Miya,51.94,2.99,2.93,0.756127715608967
Chip,51.85,0.15,13.0,0.12129948097681606
Vexana,51.84,2.5,8.23,0.6838317110980235
Yi Sun-shin,51.77,0.26,0.15,-0.0048391922775174595
Diggie,51.76,0.23,10.98,0.09196372143335874
Aurora,51.75,0.52,0.86,0.06662175834093176
Vale,51.69,0.91,1.19,0.16168600801345484
Rafaela,51.68,0.3,0.35,-0.02114363530855535
Yve,51.52,0.04,0.13,-0.15382495337549473
Barats,51.45,0.24,1.14,-0.10636219200999925
Lylia,51.43,0.6,0.36,-0.00755776790159495
Silvanna,51.4,1.14,0.86,0.16085522038124778
Minsitthar,51.33,0.39,1.27,-0.09568682314552678
Roger,51.3,2.06,14.49,0.5805963608231135
Minotaur,51.22,0.57,2.45,-0.056651243069127645
Irithel,51.21,0.36,0.14,-0.15468562423889243
Chang'e,51.18,1.69,1.85,0.3145417949474636
Cecilion,51.15,1.04,0.45,0.06813936724748416
Hayabusa,51.0,0.92,67.56,0.6603149923718332
Alpha,51.0,2.39,3.58,0.5655501397864039
Julian,50.94,1.17,43.34,0.49827650254436134
Alucard,50.88,1.5,2.92,0.20913216106243815
Hanabi,50.83,2.15,1.64,0.4432049197848959
Gord,50.75,0.38,0.2,-0.2912286201444654
Valir,50.7,0.72,2.17,-0.1479345430726982
Khufra,50.63,0.42,0.72,-0.30685046474796357
Ling,50.61,0.77,64.19,0.4687738007278254
X.Borg,50.59,0.64,1.27,-0.22040754682212696
Natan,50.56,0.35,0.25,-0.36304412990627916
Faramis,50.48,0.11,0.4,-0.49207842687345177
Luo Yi,50.47,0.48,0.66,-0.33033344133067755
Benedetta,50.41,0.57,0.92,-0.30547540033997267
Alice,50.35,0.1,0.18,-0.5440972115380567
Bruno,50.29,0.42,0.16,-0.4171152063466441
Kagura,50.26,0.69,0.49,-0.29699348470496323
Badang,50.23,0.39,0.16,-0.4497098127308361
Brody,50.21,0.54,0.34,-0.3831364016021481
Moskov,50.2,1.95,6.42,0.34403154337149755
Aldous,50.17,0.67,1.07,-0.3253106832914164
Angela,50.15,1.61,15.3,0.26373760004142066
Odette,50.0,1.0,1.01,-0.2074635257810249
Yin,49.94,1.17,40.79,0.26261744869977605
Helcurt,49.85,0.93,55.04,0.2612502485931758
Cyclops,49.72,0.55,0.22,-0.5221511578841779
Lunox,49.72,0.43,0.37,-0.5851172616726671
Joy,49.62,0.1,0.41,-0.796948950182357
Hilda,49.6,0.41,0.48,-0.6318600582456336
Cici,49.56,0.46,1.28,-0.6083284185791581
Thamuz,49.43,0.82,1.17,-0.44177896406377964
Clint,49.43,1.06,0.62,-0.30928121579067336
Layla,49.4,2.55,2.87,0.5690076261798429
Xavier,49.39,0.97,2.55,-0.3511893798288364
Aamon,49.35,0.85,5.13,-0.4051009161700196
Yu Zhong,49.19,1.0,1.82,-0.38754214672746046
Natalia,49.18,0.43,3.24,-0.7219684906837042
Uranus,49.17,0.32,0.28,-0.8215885070225675
Saber,49.09,1.03,69.23,0.2815054230073063
Akai,49.05,0.31,0.45,-0.8646385956855007
Baxia,49.03,0.08,0.05,-1.019305636920679
Estes,49.0,0.71,32.26,-0.3104448779417349
Kaja,48.98,0.06,0.08,-1.0492837166455398
Freya,48.97,0.54,2.36,-0.7253005624163029
Leomord,48.9,0.2,0.16,-0.986702701602609
Kimmy,48.89,0.25,0.1,-0.9584022425956595
Harith,48.73,0.33,0.94,-0.9495139552840713
Tigreal,48.69,2.26,33.56,0.6594116836178835
Fredrinn,48.69,0.24,0.47,-1.0274151996150576
Mathilda,48.64,0.2,3.29,-1.0429106939115154
Eudora,48.46,1.21,3.52,-0.39286777131909123
Johnson,48.34,1.1,5.08,-0.4807349347830654
Novaria,48.24,0.36,0.48,-1.0888009978273199
Claude,48.09,1.14,0.48,-0.5515508449691147
Zilong,48.09,1.41,0.88,-0.34519191063465227
Granger,47.77,0.6,0.27,-1.0493820210560914
Selena,47.76,0.8,1.85,-0.8779429335360164
Nana,47.73,2.36,24.63,0.5843077548409106
Guinevere,47.35,0.43,0.38,-1.3115287589808071
Martis,47.21,1.08,5.84,-0.7382192484258864
