hero,win_rate,pick_rate,ban_rate,z_score
Lolita,61.43,0.21,1.92,2.7505740881713066
Hylos,57.24,0.59,2.65,1.4925876441761583
Argus,56.26,0.44,1.58,1.2951876464104446
Popol and Kupa,56.08,0.69,8.19,1.2686614278768988
Edith,55.48,0.58,0.39,1.0654605078933181
Zhask,55.23,1.42,14.44,1.0467382830827288
Terizla,54.98,1.56,6.16,0.8965603405395551
Floryn,54.85,0.6,9.75,1.0290738608465566
Gatotkaca,54.63,2.29,6.53,0.7934228131552565
Belerick,54.45,0.8,5.64,0.8759468151021985
Ruby,53.62,0.82,0.82,0.6483794448734698
Masha,53.59,0.14,0.32,0.6202564837883822
Gloo,53.43,0.1,0.34,0.5746100807100354
Carmilla,53.37,0.43,0.53,0.5755656824603778
Melissa,53.29,0.83,2.82,0.6052274940122587
Ling,53.15,0.81,57.11,1.2162295534460947
Phoveus,53.14,0.05,0.17,0.4875724533739201
Bane,53.06,0.93,1.3,0.5486392149062564
Aulus,52.87,0.24,0.51,0.4334179798576182
Khaleed,52.76,0.31,0.13,0.4075428115435148
Yve,52.66,0.04,0.17,0.34897504075101354
Chip,52.64,0.17,11.23,0.49004046000892687
Yi Sun-shin,52.62,0.21,0.12,0.3585225089403485
Harley,52.23,0.95,19.85,0.611410164071302
Zhuxin,52.21,0.37,27.58,0.5996780779192168
Minsitthar,51.99,0.41,1.4,0.24299009854036685
Hayabusa,51.87,1.07,50.74,0.932460393250195
Silvanna,51.81,0.78,0.37,0.2653000149814085
Minotaur,51.8,0.64,4.11,0.27729794014602477
Vexana,51.79,2.35,8.87,0.7003043859566527
Rafaela,51.72,0.33,0.79,0.1510326422701989
Ixia,51.67,0.36,0.58,0.14259803451752556
Julian,51.62,1.11,39.73,0.7675344091790779
Sun,51.62,1.01,3.83,0.3203841113499533
Lylia,51.61,0.61,0.37,0.18369235792001865
Vale,51.6,0.89,1.47,0.26052094371780354
Helcurt,51.44,0.89,51.81,0.82327755775119
Irithel,51.42,0.36,0.16,0.07436746355118176
Aurora,51.42,0.47,1.25,0.11531829484897846
Barats,51.39,0.26,1.71,0.05921862046860143
Diggie,51.34,0.22,16.92,0.21501066094590734
Natan,51.25,0.39,0.41,0.04249663418222786
Cecilion,51.16,1.01,0.52,0.1968083409405887
Miya,51.14,2.94,2.51,0.7670689688035589
Roger,51.12,2.05,12.7,0.6320627207842668
Natalia,51.07,0.31,2.24,-0.004296859331876075
Khufra,51.04,0.4,0.88,-0.0014736534360731274
Faramis,51.02,0.11,0.47,-0.09771377253325003
Benedetta,50.97,0.61,0.73,0.043042064770037594
Brody,50.92,0.55,0.39,0.00918718476238621
Bruno,50.91,0.44,0.16,-0.029928968557421626
Luo Yi,50.9,0.56,1.14,0.016492005239755744
Valir,50.89,0.68,2.18,0.06387739132835685
Chang'e,50.8,1.67,1.74,0.3572630566961933
X.Borg,50.79,0.66,1.44,0.02679797285916593
Alice,50.77,0.09,0.19,-0.177457424772526
Gord,50.73,0.36,0.3,-0.09861351768022117
Alpha,50.67,2.36,3.2,0.5911821629809341
Alucard,50.59,1.56,2.65,0.30639015000601205
Atlas,50.48,0.62,5.82,-0.004259207115410681
Badang,50.42,0.4,0.22,-0.16353388289830273
Kagura,50.4,0.68,0.5,-0.06323027368112032
Moskov,50.37,2.27,10.51,0.6325211149068753
Cyclops,50.37,0.5,0.2,-0.13947118482256682
Clint,50.36,1.01,1.23,0.05822297762453075
Xavier,50.33,1.07,5.2,0.12187264472134787
Odette,50.08,1.1,0.94,0.03921374707157029
Hilda,50.07,0.42,0.49,-0.23944620429944916
Lunox,49.95,0.43,0.31,-0.26705103182757606
Kaja,49.78,0.06,0.1,-0.4705252822900195
Harith,49.63,0.45,2.62,-0.30945497964414675
Yin,49.61,1.19,40.53,0.4650631561584733
Yu Zhong,49.59,1.15,2.22,-0.008453681701712245
Freya,49.57,0.48,2.24,-0.31496563520964566
Joy,49.5,0.11,0.46,-0.5230949596848558
Layla,49.49,2.58,2.74,0.6405167104920915
Akai,49.47,0.33,0.45,-0.4296430114623324
Angela,49.46,1.71,17.56,0.41081700717241665
Aamon,49.33,0.9,5.46,-0.13369156154135445
Aldous,49.3,0.71,1.08,-0.2827624685213433
Baxia,49.29,0.11,0.08,-0.5863338352610182
Saber,49.25,1.02,61.93,0.57566306150925
Kimmy,49.23,0.23,0.09,-0.5443118674526249
Mathilda,49.15,0.25,5.22,-0.4951637274782912
Tigreal,48.96,2.27,41.67,0.930941404078131
Hanabi,48.8,2.05,2.02,0.3373529207000207
Fredrinn,48.79,0.28,0.79,-0.6267127648752742
Uranus,48.65,0.29,0.44,-0.66196249094615
Estes,48.63,0.67,58.31,0.22609920358415114
Thamuz,48.57,0.68,0.95,-0.45856689786865773
Leomord,48.53,0.34,0.35,-0.6661020106632842
Johnson,48.41,1.13,5.09,-0.18524991296207446
Eudora,48.36,1.12,3.41,-0.21944463878451778
Novaria,48.31,0.39,0.57,-0.6902903986577819
Granger,48.12,0.65,0.26,-0.5834588200682304
Lesley,48.0,2.17,2.75,0.36226208279390004
Claude,47.99,1.4,0.65,-0.14164332463936502
Arlott,47.87,0.33,0.57,-0.8382975967433337
Zilong,47.78,1.44,0.77,-0.14430822509734936
Beatrix,47.73,0.54,0.24,-0.7417406222623204
Selena,47.7,0.83,1.48,-0.5449217005342064
Wanwan,47.69,0.21,0.45,-0.9642642225644722
Dyrroth,47.55,2.42,3.52,0.511508913205634
Nana,47.53,2.36,25.17,0.7261621987143408
Guinevere,47.51,0.4,0.28,-0.8868983059472786
Martis,47.32,0.95,4.12,-0.5077134310011873
Pharsa,47.23,0.54,0.3,-0.8579713269413392
Jawhead,47.2,0.7,0.68,-0.7475771564035301
Cici,47.04,0.32,1.49,-1.047391131900751
Grock,46.86,0.14,0.07,-1.244051097500766
Lapu-Lapu,46.85,0.25,0.07,-1.165071158091848
Gusion,46.83,1.06,1.48,-0.5500497092447054
Kadita,46.75,0.39,0.24,-1.084013511038607
Hanzo,46.69,0.29,3.17,-1.1404441871727915
Chou,46.6,1.41,1.65,-0.31962805276140893
Franco,46.42,2.13,7.64,0.2938057013871504
Karrie,46.0,0.63,0.26,-1.071064368461048
Karina,45.48,0.74,6.55,-1.0156075260767485
Nolan,45.4,0.34,2.25,-1.4425352645601717
Paquito,45.24,0.45,0.31,-1.4056204800633307
Valentina,44.43,0.4,0.5,-1.6506739101871069
Esmeralda,44.24,0.71,2.26,-1.3604336148397
Balmond,44.14,0.63,0.33,-1.4873817360258856
Lancelot,43.84,1.14,1.73,-0.9952700672802983
Fanny,43.09,0.9,13.02,-1.2640603299178346
