hero,win_rate,pick_rate,ban_rate,z_score
Lolita,58.45,0.32,0.97,1.9650886749861307
Floryn,56.2,0.78,9.17,1.3188843805024768
Hylos,55.5,0.39,0.29,1.1820864480749842
Moskov,55.48,3.5,38.22,0.8181373087016037
Argus,55.41,0.6,1.7,1.1259827943123701
Barats,55.2,1.01,54.15,1.5032075607359103
Harith,54.3,1.08,85.64,1.6411131290576844
Edith,54.0,0.51,0.31,0.8007426520569273
Khaleed,53.75,0.46,0.31,0.7434683657852292
Carmilla,53.62,0.26,0.37,0.7160660750138618
Masha,53.51,0.48,35.78,1.0281768545349417
Gatotkaca,53.46,1.37,2.44,0.6955702140426304
Belerick,53.34,0.91,7.04,0.7165745925011947
Terizla,53.25,0.99,1.13,0.6445491620185435
Popol and Kupa,53.19,0.59,1.33,0.6224782062456413
Zhask,52.88,0.6,1.07,0.5505328045624822
Melissa,52.7,1.0,2.81,0.5628523048054257
Natan,52.65,1.52,12.51,0.6974911181924899
Vexana,52.46,2.74,36.9,1.0546152770465285
Aulus,52.43,0.18,0.25,0.39033558568239757
Minotaur,52.41,1.23,29.56,0.7980029875145268
Vale,52.31,0.93,0.95,0.46577801037913635
Silvanna,52.29,0.65,0.34,0.41758923483922517
Odette,52.2,1.09,0.91,0.46856797638084957
Diggie,52.07,0.36,48.41,0.7864508732858887
Freya,52.02,0.45,2.06,0.34119180596770926
Alucard,51.98,0.89,0.87,0.3964539505338717
Gloo,51.94,0.1,0.27,0.24204965006568874
Benedetta,51.92,0.55,0.76,0.32245727995663515
Fredrinn,51.77,1.24,39.38,0.797726847661246
Rafaela,51.76,0.38,0.4,0.24815090614429505
Harley,51.63,0.99,20.16,0.5373189910242057
Angela,51.59,1.83,39.14,0.8975816381533048
Phoveus,51.48,0.07,0.16,0.10376096307443129
Yi Sun-shin,51.44,0.2,0.07,0.12217832662549818
Ling,51.41,1.17,4.99,0.3944259366325089
Luo Yi,51.22,0.93,4.47,0.2963206512207291
Uranus,51.21,0.37,0.38,0.10747827537128167
Roger,51.18,2.3,31.2,0.9126440987797879
Ixia,51.14,0.55,1.05,0.14518893503664326
Estes,51.12,0.69,45.03,0.6038348386026677
Saber,51.08,1.1,13.81,0.40776419356914273
Helcurt,50.99,0.88,43.05,0.6117005915560962
Sun,50.98,0.94,4.36,0.253358318078227
Yin,50.75,1.18,40.4,0.6349448329576616
Alpha,50.74,2.02,2.76,0.5367930691681481
Ruby,50.65,0.8,2.5,0.128188523633074
Faramis,50.62,0.32,1.63,-0.04559840297113058
Minsitthar,50.55,0.6,2.91,0.043956796881246755
Esmeralda,50.44,1.62,9.53,0.443086614141898
Aldous,50.44,0.64,0.79,0.012833129221473805
Dyrroth,50.38,2.09,4.82,0.5603194754137266
Xavier,50.29,0.69,0.18,-0.007604127360447057
Hilda,50.29,0.47,1.1,-0.08018319110897834
Lylia,50.21,0.91,0.78,0.06454165875848854
Thamuz,50.11,0.65,0.76,-0.0562739485869532
Miya,50.11,1.41,0.99,0.2432925679109346
