hero,win_rate,pick_rate,ban_rate,z_score
Lolita,61.42,0.2,1.8,2.808914160163258
Hylos,57.04,0.53,0.85,1.4554888545725952
Popol and Kupa,56.42,0.69,4.74,1.316499623809891
Argus,56.16,0.48,1.46,1.2651488493569825
Edith,55.73,0.6,0.26,1.1157937855571836
Carmilla,55.04,0.21,0.31,1.0080098207131907
Floryn,55.02,0.56,13.23,1.1459074171751376
Belerick,54.6,0.8,5.89,0.9177516552305465
Terizla,54.55,1.29,2.31,0.8157528562858891
Gatotkaca,54.19,2.1,4.37,0.7587839316801505
Masha,53.97,0.17,0.45,0.7136906293433019
Gloo,53.96,0.11,0.39,0.710746227335848
Zhask,53.83,1.13,3.39,0.7193899620929699
Ling,53.68,0.88,49.79,1.3702586023469214
Yve,53.63,0.05,0.17,0.6107274650220086
Bane,53.49,0.92,1.03,0.6172228033972935
Ruby,53.34,0.71,0.38,0.5660199567451699
Khaleed,53.21,0.28,0.15,0.5028840228477278
Melissa,53.05,0.89,2.57,0.5503539046229632
Aulus,52.91,0.28,0.65,0.4293530763403022
Phoveus,52.59,0.05,0.16,0.3031689583662704
Harley,52.4,0.99,16.88,0.6465418474387405
Yi Sun-shin,52.29,0.18,0.12,0.23680618816161383
Chip,52.24,0.19,11.28,0.3885286571955945
Hayabusa,52.1,1.15,29.19,0.8022101295504394
Minotaur,52.0,0.68,5.44,0.3379756603326409
Lylia,51.96,0.59,0.49,0.23706942120006402
Benedetta,51.95,0.55,0.48,0.2259931163970606
Rafaela,51.84,0.36,0.66,0.15920379151490743
Silvanna,51.74,0.76,0.48,0.22584038979646096
Helcurt,51.73,0.97,35.45,0.7877115849505103
Diggie,51.69,0.23,21.79,0.3988192190740584
Luo Yi,51.67,0.54,1.7,0.17451495016290713
Minsitthar,51.62,0.45,1.31,0.13410440853811542
Vexana,51.62,2.41,10.71,0.7659289644559942
Cecilion,51.59,1.02,0.63,0.2621217977555781
Aurora,51.55,0.49,1.86,0.13505109507912727
Ixia,51.55,0.38,0.76,0.09031139571843178
Alice,51.5,0.1,0.26,-0.004279510789788346
Khufra,51.47,0.4,0.79,0.07546666635595253
Irithel,51.43,0.37,0.19,0.04820984446421257
Julian,51.32,1.17,25.26,0.6166255530173704
Brody,51.29,0.54,0.37,0.06370171634151113
Vale,51.28,0.86,1.54,0.17139643275816466
Natalia,51.26,0.31,2.3,0.01755102787850272
Faramis,51.25,0.11,0.56,-0.06941893653049361
Kagura,51.19,0.65,0.45,0.0739138027385819
Sun,51.18,1.03,3.76,0.23488714754779624
Barats,51.13,0.3,2.99,-0.00999083666353022
X.Borg,51.12,0.71,1.43,0.09087304063649115
Valir,51.1,0.66,3.23,0.09736249132311307
Roger,51.05,1.76,7.0,0.48938839439626725
Bruno,51.04,0.47,0.2,-0.021067622945628448
Clint,50.94,1.25,2.31,0.2415628876329145
Miya,50.82,2.83,2.78,0.7701720705731976
Natan,50.78,0.48,0.78,-0.07358676808639839
Gord,50.77,0.39,0.28,-0.11472120743632332
Xavier,50.66,1.32,6.51,0.28371237954370415
Badang,50.65,0.44,0.23,-0.12823622162058956
Atlas,50.62,0.66,4.49,0.007090108378807122
Freya,50.61,0.46,1.79,-0.10805707261640315
Cyclops,50.58,0.52,0.24,-0.11613672248935762
Alucard,50.56,1.15,1.62,0.13347811212565924
Chang'e,50.53,1.69,1.41,0.327822119541889
Lunox,50.47,0.34,0.19,-0.21228449145042255
Moskov,50.39,2.31,14.69,0.749876561205407
Alpha,50.39,2.29,2.08,0.5568070537161137
Yu Zhong,50.18,1.3,2.54,0.14412614382981148
Hilda,49.99,0.44,0.71,-0.28717504145372447
Harith,49.96,0.5,4.75,-0.20899588139870584
Odette,49.96,1.09,1.35,0.0003948671346096534
Kaja,49.88,0.07,0.1,-0.48978413737136883
Mathilda,49.85,0.28,8.31,-0.2830542232287657
Baxia,49.6,0.13,0.1,-0.5431004861020117
Zhuxin,49.57,0.65,23.27,0.040183936844706454
Layla,49.53,2.39,3.1,0.5841722313693753
Yin,49.52,1.37,29.0,0.4652684738719914
Angela,49.4,1.78,16.2,0.4658363983115133
Aamon,49.4,0.95,4.23,-0.12738860264046367
Joy,49.35,0.12,0.37,-0.6158552576582474
