hero,win_rate,pick_rate,ban_rate,z_score
Lolita,60.0,0.23,1.06,2.305578606766031
Argus,56.45,0.56,1.95,1.3274050611348294
Hylos,56.35,0.35,0.4,1.3466743337648632
Belerick,55.24,1.0,9.8,1.0735086690888782
Floryn,55.04,0.48,7.41,1.0888665564801596
Gatotkaca,54.74,2.04,4.74,0.8091879828376723
Edith,54.67,0.56,0.44,0.9209319380859176
Carmilla,54.22,0.18,0.41,0.8470340851787981
Moskov,54.08,2.85,49.5,1.2005830567371363
Khaleed,54.06,0.24,0.22,0.800913420131473
Zhask,53.5,0.81,2.18,0.6844176760264393
Terizla,53.49,0.83,1.58,0.6761254143930604
Masha,53.36,0.19,7.42,0.7020426656260452
Aamon,53.23,0.69,1.53,0.6210943496381746
Popol and Kupa,53.06,0.53,1.78,0.5809824980410485
Aulus,52.93,0.25,0.44,0.5205820205382676
Silvanna,52.87,0.93,0.64,0.5532550963303969
Gloo,52.76,0.09,0.36,0.4648263873769447
Melissa,52.67,1.08,3.69,0.5625448142290489
Natan,52.65,0.82,10.84,0.6131826531304331
Vale,52.41,1.31,1.76,0.5238715504575104
Vexana,52.07,2.67,37.57,1.0583331761058457
Benedetta,51.98,0.35,0.65,0.3010501556225643
Rafaela,51.96,0.45,0.58,0.3111480154667765
Harley,51.7,1.06,32.11,0.7020867886456438
Julian,51.7,0.5,0.87,0.26356502916443486
Alucard,51.69,0.99,1.68,0.3597476844136925
Uranus,51.59,0.49,0.62,0.23417899582351087
Yi Sun-shin,51.57,0.11,0.06,0.14956572838996116
Sun,51.53,1.33,6.38,0.4496805424598964
Helcurt,51.47,0.98,36.04,0.6889470929691744
Minotaur,51.43,0.75,15.24,0.40975837602324877
Ling,51.41,0.63,3.34,0.2522719966692514
Odette,51.4,1.27,1.33,0.3639350210613605
Ixia,51.23,0.52,1.19,0.16577167015356697
Alpha,51.18,2.74,4.83,0.7117147582934948
Estes,51.13,0.76,54.82,0.7783837070303542
Barats,51.11,0.61,39.35,0.5717081336948654
X.Borg,51.0,0.89,6.52,0.26473720403352846
Yin,50.98,1.33,53.33,0.8765959712388788
Angela,50.95,1.77,36.07,0.798957308105057
Minsitthar,50.88,0.56,2.71,0.11455524596108489
Baxia,50.79,0.12,0.17,-0.05207469787388032
Phoveus,50.65,0.06,0.17,-0.10595646976662917
Diggie,50.64,0.3,30.5,0.2868514641548476
Roger,50.63,1.59,26.35,0.610474099856224
Ruby,50.57,0.67,1.77,0.06873791107617097
Natalia,50.5,0.36,2.47,-0.0313772428821933
Lylia,50.49,0.72,0.87,0.05743148841853298
Saber,50.47,1.44,24.99,0.5314948861118161
Miya,50.28,2.43,1.74,0.5744912995754168
Atlas,50.24,0.67,5.83,0.0437083885316065
Luo Yi,50.23,0.67,3.34,0.01479962524018022
Hilda,50.16,0.61,1.49,-0.03973927139319885
Thamuz,50.15,0.93,1.39,0.06413732617128788
Esmeralda,50.11,1.48,14.07,0.3796662398191172
Gord,50.1,0.62,0.24,-0.06266725942952621
Chip,50.05,0.15,11.35,-0.11556951191585942
Bane,50.03,0.45,0.26,-0.13628693254540777
Badang,50.0,0.41,0.12,-0.158674278121615
Aldous,49.85,0.78,1.28,-0.046517211745957805
Freya,49.8,0.45,0.99,-0.1813330459670892
Tigreal,49.76,1.67,64.48,0.9485911985318396
Aurora,49.68,0.6,4.9,-0.1096740769118836
Nana,49.66,2.51,53.18,1.1375091281488552
Johnson,49.66,1.28,6.24,0.1608378971605542
Layla,49.62,2.79,3.61,0.7107176294689665
Hanabi,49.59,2.7,4.17,0.6816773361784595
Khufra,49.58,0.29,0.88,-0.2956543974621394
Cyclops,49.54,0.71,0.24,-0.14659553758242813
Irithel,49.52,0.37,0.12,-0.28685398865445866
Clint,49.46,0.59,0.24,-0.2112638893709911
Chang'e,49.45,1.78,2.79,0.29431332620197187
Novaria,49.39,0.68,3.09,-0.15884473498717103
Xavier,49.37,0.42,0.2,-0.3011071348932038
Hanzo,49.34,0.26,3.54,-0.33842163039315093
Lunox,49.23,0.24,0.42,-0.4079008452419481
Valir,49.21,1.13,7.26,0.040992099851539524
Dyrroth,49.05,2.55,6.48,0.6355010123231681
Eudora,49.01,1.09,2.27,-0.0632624193558576
Yu Zhong,48.98,0.95,1.39,-0.14073364360787574
Brody,48.98,0.49,0.53,-0.3569316627462813
Fredrinn,48.93,0.78,20.7,-0.01905943470069474
Akai,48.67,0.42,0.69,-0.4589273871746004
Kagura,48.66,0.33,0.23,-0.5095350341240249
Granger,48.42,0.85,0.55,-0.3015428832822122
Harith,48.41,0.91,62.02,0.38912750721794304
Cici,48.33,0.61,6.14,-0.38180383298129245
Cecilion,48.31,0.76,0.24,-0.3722790534733831
Gusion,48.23,0.84,1.05,-0.3376202533665424
Martis,48.17,1.18,13.89,-0.03073198477269483
Pharsa,48.05,0.61,0.25,-0.5052595714386097
Karina,47.99,0.94,11.78,-0.2132909648318263
Kadita,47.9,0.32,0.35,-0.6976163847963348
Leomord,47.84,0.11,0.07,-0.8332399250958991
Zilong,47.82,1.36,0.73,-0.1263406591772404
Mathilda,47.72,0.24,15.2,-0.627259712984625
Claude,47.68,1.05,1.14,-0.3207156594203546
Yve,47.55,0.04,0.16,-0.9500337686310438
Faramis,47.29,0.11,1.21,-0.965892262743725
Bruno,47.24,0.5,0.19,-0.7478104491988996
Kimmy,47.15,0.16,0.12,-0.9830268915589
Alice,46.83,0.08,0.25,-1.117296738112683
Kaja,46.79,0.05,0.12,-1.1493192728933947
Selena,46.78,0.89,2.9,-0.5622656084665721
Lapu-Lapu,46.55,0.24,0.08,-1.083488438971081
Franco,46.4,2.19,10.02,0.35846639332468316
Arlott,46.33,0.31,0.99,-1.0790921460827636
Lesley,46.27,1.83,1.75,0.0037472612333386834
Guinevere,46.22,0.62,0.82,-0.884062609583176
Joy,45.77,0.07,0.91,-1.400302111310913
Jawhead,45.7,0.53,0.46,-1.0684092353972046
Hayabusa,45.65,0.53,0.89,-1.0748853268436975
Karrie,45.54,0.76,0.52,-0.9219561501419286
Grock,45.53,0.1,0.1,-1.449532687683019
Paquito,45.51,0.56,0.85,-1.082676595839567
Balmond,44.86,1.03,0.56,-0.8262368466826054
Beatrix,44.84,0.35,0.12,-1.41747111819484
Nolan,44.17,0.35,6.32,-1.5114042542357007
Lancelot,43.78,0.82,1.28,-1.2072333557210404
Chou,43.1,0.91,1.51,-1.2438359717387126
Fanny,42.83,0.53,6.83,-1.6374128835574513
Wanwan,41.56,0.17,0.31,-2.4147150299264055
Valentina,40.09,0.23,0.6,-2.710776026290998
